,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
0,AdventureWorks2017,HumanResources,EmployeePayHistory,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
1,AdventureWorks2017,HumanResources,EmployeePayHistory,PayFrequency,4,,NO,tinyint,,,3,10,0,,,,,,,,,,
2,AdventureWorks2017,Sales,SalesOrderHeaderSalesReason,SalesOrderID,1,,NO,int,,,10,10,0,,,,,,,,,,
3,AdventureWorks2017,Sales,SalesOrderHeaderSalesReason,SalesReasonID,2,,NO,int,,,10,10,0,,,,,,,,,,
4,AdventureWorks2017,Sales,SalesPerson,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
5,AdventureWorks2017,Sales,SalesPerson,TerritoryID,2,,YES,int,,,10,10,0,,,,,,,,,,
6,AdventureWorks2017,Production,Illustration,IllustrationID,1,,NO,int,,,10,10,0,,,,,,,,,,
7,AdventureWorks2017,HumanResources,JobCandidate,JobCandidateID,1,,NO,int,,,10,10,0,,,,,,,,,,
8,AdventureWorks2017,HumanResources,JobCandidate,BusinessEntityID,2,,YES,int,,,10,10,0,,,,,,,,,,
9,AdventureWorks2017,Production,Location,LocationID,1,,NO,smallint,,,5,10,0,,,,,,,,,,
10,AdventureWorks2017,Person,Password,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
11,AdventureWorks2017,Sales,SalesPersonQuotaHistory,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
12,AdventureWorks2017,Person,Person,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
13,AdventureWorks2017,Person,Person,EmailPromotion,9,((0)),NO,int,,,10,10,0,,,,,,,,,,
14,AdventureWorks2017,Sales,SalesReason,SalesReasonID,1,,NO,int,,,10,10,0,,,,,,,,,,
15,AdventureWorks2017,Sales,SalesTaxRate,SalesTaxRateID,1,,NO,int,,,10,10,0,,,,,,,,,,
16,AdventureWorks2017,Sales,SalesTaxRate,StateProvinceID,2,,NO,int,,,10,10,0,,,,,,,,,,
17,AdventureWorks2017,Sales,SalesTaxRate,TaxType,3,,NO,tinyint,,,3,10,0,,,,,,,,,,
18,AdventureWorks2017,Sales,PersonCreditCard,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
19,AdventureWorks2017,Sales,PersonCreditCard,CreditCardID,2,,NO,int,,,10,10,0,,,,,,,,,,
20,AdventureWorks2017,Person,vAdditionalContactInfo,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
21,AdventureWorks2017,Person,PersonPhone,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
22,AdventureWorks2017,Person,PersonPhone,PhoneNumberTypeID,3,,NO,int,,,10,10,0,,,,,,,,,,
23,AdventureWorks2017,HumanResources,vEmployee,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
24,AdventureWorks2017,HumanResources,vEmployee,EmailPromotion,11,,NO,int,,,10,10,0,,,,,,,,,,
25,AdventureWorks2017,Sales,SalesTerritory,TerritoryID,1,,NO,int,,,10,10,0,,,,,,,,,,
26,AdventureWorks2017,HumanResources,vEmployeeDepartment,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
27,AdventureWorks2017,Person,PhoneNumberType,PhoneNumberTypeID,1,,NO,int,,,10,10,0,,,,,,,,,,
28,AdventureWorks2017,HumanResources,vEmployeeDepartmentHistory,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
29,AdventureWorks2017,Sales,vIndividualCustomer,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
30,AdventureWorks2017,Sales,vIndividualCustomer,EmailPromotion,10,,NO,int,,,10,10,0,,,,,,,,,,
31,AdventureWorks2017,Production,Product,ProductID,1,,NO,int,,,10,10,0,,,,,,,,,,
32,AdventureWorks2017,Production,Product,SafetyStockLevel,7,,NO,smallint,,,5,10,0,,,,,,,,,,
33,AdventureWorks2017,Production,Product,ReorderPoint,8,,NO,smallint,,,5,10,0,,,,,,,,,,
34,AdventureWorks2017,Production,Product,DaysToManufacture,15,,NO,int,,,10,10,0,,,,,,,,,,
35,AdventureWorks2017,Production,Product,ProductSubcategoryID,19,,YES,int,,,10,10,0,,,,,,,,,,
36,AdventureWorks2017,Production,Product,ProductModelID,20,,YES,int,,,10,10,0,,,,,,,,,,
37,AdventureWorks2017,Sales,vPersonDemographics,BusinessEntityID,1,,NO,int,,,10,10,0,,,,,,,,,,
38,AdventureWorks2017,Sales,vPersonDemographics,TotalChildren,8,,YES,int,,,10,10,0,,,,,,,,,,
39,AdventureWorks2017,Sales,vPersonDemographics,NumberChildrenAtHome,9,,YES,int,,,10,10,0,,,,,,,,,,
40,AdventureWorks2017,Sales,vPersonDemographics,NumberCarsOwned,13,,YES,int,,,10,10,0,,,,,,,,,,
41,AdventureWorks2017,HumanResources,vJobCandidate,JobCandidateID,1,,NO,int,,,10,10,0,,,,,,,,,,
42,AdventureWorks2017,HumanResources,vJobCandidate,BusinessEntityID,2,,YES,int,,,10,10,0,,,,,,,,,,
43,AdventureWorks2017,HumanResources,vJobCandidateEmployment,JobCandidateID,1,,NO,int,,,10,10,0,,,,,,,,,,
44,AdventureWorks2017,HumanResources,vJobCandidateEducation,JobCandidateID,1,,NO,int,,,10,10,0,,,,,,,,,,
45,AdventureWorks2017,Production,vProductAndDescription,ProductID,1,,NO,int,,,10,10,0,,,,,,,,,,
46,AdventureWorks2017,Production,vProductModelCatalogDescription,ProductModelID,1,,NO,int,,,10,10,0,,,,,,,,,,
47,AdventureWorks2017,Production,vProductModelInstructions,ProductModelID,1,,NO,int,,,10,10,0,,,,,,,,,,
48,AdventureWorks2017,Production,vProductModelInstructions,LocationID,4,,YES,int,,,10,10,0,,,,,,,,,,
49,AdventureWorks2017,Production,vProductModelInstructions,LotSize,8,,YES,int,,,10,10,0,,,,,,,,,,
